Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.62      5.50     0.05                             rprj3 (real.c:617 @ 4071db)
  0.62      5.54     0.05                             vranlc (randdp.c:129 @ 40a726)
  0.62      5.59     0.05                             vranlc (randdp.c:131 @ 40a743)
  0.55      5.63     0.04                             interp (real.c:674 @ 407d54)
  0.55      5.67     0.04                             interp (real.c:677 @ 407d59)
  0.55      5.71     0.04                             interp (real.c:686 @ 407f4e)
  0.55      5.75     0.04                             psinv (real.c:463 @ 4060b4)
  0.55      5.79     0.04                             resid (real.c:525 @ 4055fa)
  0.55      5.83     0.04                             resid (real.c:528 @ 405697)
  0.55      5.87     0.04                             resid (real.c:530 @ 40578e)
  0.55      5.91     0.04                             rprj3 (real.c:610 @ 406def)
  0.55      5.95     0.04                             rprj3 (real.c:618 @ 4071ba)
  0.55      5.99     0.04                             vranlc (randdp.c:128 @ 40a71d)
  0.55      6.03     0.04                             vranlc (randdp.c:131 @ 40a74d)
  0.48      6.06     0.04                             psinv (real.c:471 @ 406256)
  0.48      6.10     0.04                             psinv (real.c:467 @ 40626e)
  0.48      6.13     0.04                             psinv (real.c:461 @ 406068)
  0.48      6.17     0.04                             psinv (real.c:471 @ 40623f)
  0.48      6.20     0.04                             psinv (real.c:468 @ 406243)
  0.48      6.24     0.04                             vranlc (randdp.c:131 @ 40a73a)
  0.48      6.27     0.04                             zran3 (real.c:970 @ 403587)
  0.41      6.30     0.03                             interp (real.c:667 @ 407b58)
  0.41      6.33     0.03                             vranlc (randdp.c:134 @ 40a748)
  0.41      6.36     0.03                             comm3 (real.c:877 @ 402854)
  0.41      6.39     0.03                             resid (real.c:538 @ 405ace)
  0.34      6.42     0.03                             interp (real.c:683 @ 407e69)
  0.34      6.44     0.03                             interp (real.c:688 @ 407f85)
  0.27      6.46     0.02                             comm3 (real.c:870 @ 402782)
  0.27      6.48     0.02                             comm3 (real.c:883 @ 402a18)
  0.27      6.50     0.02                             interp (real.c:682 @ 407e7d)
  0.27      6.52     0.02                             interp (real.c:694 @ 408083)
  0.27      6.54     0.02                             psinv (real.c:463 @ 406082)
  0.27      6.56     0.02                             resid (real.c:523 @ 4055c7)
  0.27      6.58     0.02                             resid (real.c:530 @ 405aa2)
  0.27      6.60     0.02                             rprj3 (real.c:614 @ 407167)
  0.27      6.62     0.02                             rprj3 (real.c:618 @ 4071ee)
  0.27      6.64     0.02                             vranlc (randdp.c:137 @ 40a79b)
  0.21      6.66     0.02                             interp (real.c:695 @ 40803e)
  0.21      6.67     0.02                             interp (real.c:693 @ 408048)
  0.21      6.69     0.02                             interp (real.c:693 @ 408061)
  0.21      6.70     0.02                             norm2u3 (real.c:826 @ 4024fc)
  0.21      6.72     0.02                             resid (real.c:538 @ 405a66)
  0.21      6.73     0.02                             resid (real.c:537 @ 405a71)
  0.21      6.75     0.02                             rprj3 (real.c:606 @ 406dbf)
  0.21      6.76     0.02                             rprj3 (real.c:620 @ 40724f)
  0.21      6.78     0.02                             vranlc (randdp.c:131 @ 40a72a)
  0.21      6.79     0.02                             vranlc (randdp.c:129 @ 40a72e)
